id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,2.4535052943974733e-05,0.0007889621192589402,2.1315172489266843e-06,0.0008860849775373936,0.0002673934795893729,4.540769077721052e-05,3.5461600873532007e-06,1.8534615264798049e-06,0.013898583129048347,0.0001967801945284009,0.002893429482355714,2.0344734252830676e-07,0.0025655566714704037,1.9145722944813315e-06,0.0007982064853422344,2.4293491151183844e-05,0.00012604981020558625,9.495842823525891e-05,5.644886641675839e-06,2.5806566554820165e-06,3.913741966243833e-05,8.646013884572312e-05,3.7653560866601765e-05,9.833596777752973e-06,1.5002568943600636e-05,3.350855695316568e-05,0.0009951567044481635,0.00191983999684453,7.150540113798343e-06,5.556761607294902e-06,1.0790275837280205e-06,0.0030503952875733376,5.116441388963722e-05,2.302132088516373e-06,5.62057139177341e-05,0.00025826002820394933,4.2784955439856276e-05,5.549971504592577e-08,1.0631349596224027e-06,4.800517672265414e-06,1.4902536804584088e-07,6.343385757645592e-05,1.1013757102773525e-05,6.331303552542522e-07,0.00010294299136148766,3.1643256079405546e-05,0.23236016929149628,8.047511528275209e-07,2.248519876957289e-06,1.3330110277820495e-06,2.8997743356740102e-05,0.36829128861427307,1.0949840543617029e-05,5.609786239801906e-05,0.00094587542116642,0.0002086301101371646,0.0064769950695335865,6.274548809415137e-07,0.00012817046081181616,1.5599280231981538e-05,2.193933596572606e-06,9.178647815133445e-06,3.9863651181804016e-05,6.367259629769251e-05,0.03289909288287163,1.5196593267319258e-05,0.0020970299374312162,1.8191226445196662e-06,0.0002617869758978486,1.737416459945962e-05,2.291508508278639e-06,7.443302820320241e-06,8.865113341016695e-05,9.312389011029154e-05,0.0013444971991702914,0.057379331439733505,1.2528543265943881e-05,2.7501053409650922e-05,0.0068506705574691296,9.977834270102903e-05,0.00040531245758756995,4.699438431998715e-05,7.157109848776599e-06,0.2556505501270294,4.9671714805299416e-05,6.1769678723067045e-06,2.588884854048956e-06,1.1208851447008783e-06,0.0007583232945762575,5.507190962816821e-06,3.4875463938988105e-07,0.001147406524978578,5.6985132687259465e-05,7.091867155395448e-05,9.275353477278259e-06,1.2871242915935e-07,0.0021700565703213215,0.00031451566610485315,7.061948394948558e-07
7,0.0027519743889570236,9.237733138434123e-06,5.592726665781811e-05,0.0018830937333405018,1.180186700366903e-06,1.6735080862417817e-05,0.0001907607220346108,4.003665253549116e-06,7.5242610364512075e-06,3.5023029340663925e-05,3.966727490478661e-06,1.9448602870397735e-06,2.577341001597233e-05,7.666377496207133e-05,2.835887471519527e-06,5.931704072281718e-05,0.000869255920406431,0.00018510139489080757,1.559045267640613e-05,0.0028346264734864235,3.0580083603126695e-06,6.064389526727609e-05,4.831602200283669e-05,4.239173358655535e-05,3.7401765439426526e-05,4.996045845473418e-06,3.6630597605835646e-05,0.0004458598268684,1.565790626045782e-05,6.191390184540069e-06,0.0003422975423745811,0.00014035905769560486,0.022684073075652122,3.7571055599983083e-06,1.6191596614589798e-06,3.34583205585659e-06,9.004339517559856e-06,6.123379534983542e-06,0.018501590937376022,0.0006005776231177151,0.0001546521089039743,0.0027269490528851748,0.0004026007081847638,0.021908903494477272,0.0022595301270484924,0.0010816791327670217,7.322681994992308e-06,0.013255676254630089,0.007216828875243664,6.913815468578832e-06,0.717609703540802,2.60028036791482e-06,1.9169288862030953e-05,0.02567126601934433,0.0007013028371147811,0.00021765600831713527,0.0014242478646337986,0.011958222836256027,0.0008290584082715213,1.072809573088307e-05,0.0007855743169784546,3.4708300518104807e-06,1.8130460830434458e-06,4.1018884076038375e-05,4.753658686240669e-06,0.00011616249685175717,1.0698109690565616e-05,9.16209100978449e-05,0.0009237900958396494,0.04501768946647644,2.2806595723068313e-07,1.2592465282068588e-05,3.738197119673714e-05,1.3882418897992466e-05,1.4259854651754722e-05,4.056370016769506e-05,0.0015932340174913406,7.337065471801907e-05,0.00031953994766809046,2.1800053218612447e-05,1.661050987422641e-06,0.00020019234216306359,0.002434111200273037,0.00018590546096675098,0.0052418396808207035,0.053994517773389816,0.013635863550007343,0.007900466211140156,1.4510068240269902e-06,0.0005549897323362529,0.00043392536463215947,1.117050146604015e-06,3.0141436582198367e-06,1.2827780665247701e-05,0.0007190852193161845,0.00045141627197153866,0.00013102017692290246,1.6446459994767793e-05,0.005467252805829048
9,1.2701659279912292e-08,0.9557920098304749,0.00012368570605758578,2.8598300559679046e-05,0.003145904978737235,9.417489309271332e-06,0.0020898068323731422,0.000568111427128315,0.00021637040481436998,8.489128231303766e-05,1.0732557711889967e-05,0.0005268438835628331,2.1367284261941677e-06,6.4184405346168205e-06,0.0001210254558827728,3.9416113395418506e-07,0.000252633064519614,3.482493048068136e-05,2.135399945757399e-08,1.1337905561958905e-05,8.857223861014063e-07,1.4782341168029234e-05,5.7985616876976565e-06,4.056410944031086e-06,7.513708766282434e-09,4.1165963921230286e-05,0.03356814384460449,3.542909610132483e-08,5.133024387760088e-06,8.169525500534291e-08,1.3365701079237624e-07,5.652829713653773e-06,1.4630939404014498e-05,4.536431788437767e-06,5.274539489619201e-07,0.0009621645440347493,0.00014472755719907582,4.627764269571344e-07,4.86253810549897e-08,1.6671617686370155e-07,5.905840794184769e-07,2.3408218112308532e-05,6.73533634198975e-07,1.1369803587513161e-07,5.054839107287989e-07,2.8743434086209163e-05,5.8561330661177635e-05,9.980049981095362e-06,1.6707492989098682e-07,4.7292819544964004e-06,2.3643274005280546e-07,1.1746079508156981e-05,4.708075357484631e-05,5.961923221775578e-08,8.392599738726858e-06,0.00012620676716323942,1.371666894556256e-05,1.1770451919801417e-06,2.7519743639459193e-07,7.477311737602577e-05,2.624387152039276e-09,2.3108855202735867e-06,1.9567514755181037e-05,2.9702721803914756e-05,8.91578929440584e-06,1.6750505892559886e-05,2.0460476662265137e-05,7.679069113919468e-08,1.6269386833300814e-05,1.1741436765078106e-06,4.829676618101075e-05,5.310942651703954e-05,1.6995655016671662e-07,3.673484627597645e-07,2.5362712676724186e-06,7.679882401134819e-06,0.0012046726187691092,3.68738398037749e-07,4.6216915507102385e-05,7.274065865203738e-06,0.00022108867415226996,1.0005031754189986e-06,6.9196139520499855e-06,5.022811251365056e-07,4.174816581326013e-07,1.4492809441435384e-06,1.6448240103272838e-06,6.524280706798891e-06,8.882295219336811e-07,6.166002890495292e-07,2.540253262850456e-06,5.588104272646888e-07,2.3013119516690494e-06,1.0730981557571795e-05,4.1780309402383864e-05,1.513421466370346e-06,2.1635335656355892e-07,4.518874874293033e-08,3.939926045859465e-06
12,5.697985727692867e-08,1.2988923117518425e-05,5.0723805600227934e-08,7.650310180906672e-07,2.4509256846272365e-08,3.832004580317516e-08,1.0757161362562329e-05,1.664243609411642e-05,1.5096028391781147e-06,3.707488531290437e-06,2.8811454555466298e-08,1.888109909486957e-05,6.527952791657299e-06,2.8483682399382815e-05,3.143193680443801e-06,2.1985611056152266e-06,0.00025056477170437574,3.699508306453936e-05,3.604583071137313e-06,0.995520830154419,2.541237108744099e-06,5.106932690068788e-07,2.6787301976582967e-07,1.1956116985345489e-08,1.1928025855922897e-07,3.2438229879971914e-08,1.6923560224313405e-06,8.179067378932814e-08,1.1157673043271643e-06,3.823161875970982e-07,2.6110030830750475e-06,5.840103654008999e-07,3.8770733112869493e-07,1.6561602933506947e-06,3.5942573362035546e-08,2.571296704445558e-07,1.9600468021963025e-06,7.674783410038799e-05,2.113872881182033e-07,1.0548579894020804e-06,1.7828244835982332e-06,1.6139974832185544e-05,7.331288429668348e-07,4.7101815425776294e-07,2.4294878997466185e-08,2.4583043796155835e-06,2.1359489732475367e-09,0.001195137039758265,9.752652113093063e-05,9.943455552274827e-06,0.0001028499027597718,3.4857589525927324e-07,1.16152250484447e-07,1.8057443185170996e-07,7.969380931172054e-06,7.516676851082593e-05,1.8253169855597662e-06,0.0006530076498165727,4.283854286768474e-05,2.1961598122288706e-06,0.0001858856121543795,1.0936538075156932e-07,2.9139221169316443e-07,7.188809263425355e-07,5.9525952167405194e-08,5.257925863588753e-07,1.8783093480578827e-07,4.631034244084731e-06,4.105189873371273e-06,7.426721367664868e-06,7.881219517003046e-07,1.739465460559586e-08,5.203303885537025e-07,2.2082051032157324e-07,1.485901066189399e-06,5.6497949429967775e-08,8.423900226262049e-07,5.476439127960475e-06,4.4900824036631093e-07,1.7178234656967106e-06,1.7298944499088975e-07,5.104770934849512e-07,3.544079163475544e-06,4.255093699612189e-08,0.001048167934641242,3.1545778256258927e-06,6.444173050113022e-05,0.00011124768207082525,1.2463914345062221e-06,3.595243106246926e-05,1.3223132555140182e-05,1.011298991215881e-06,2.8899719950459257e-07,1.625766721247146e-08,8.591817459091544e-05,0.00018400298722553998,3.474885490462043e-09,4.336899564805208e-06,6.594435490114847e-06
13,1.3163815310690552e-05,0.00045212230179458857,4.693364985541848e-07,1.3567310816142708e-05,1.988039912248496e-06,5.505634135261062e-07,1.0062892670248402e-06,2.0049083104822785e-05,0.0015221463982015848,2.675217956493725e-06,8.115125092444941e-05,0.00048736532335169613,0.00038481521187350154,0.0001946721167769283,0.9933742880821228,2.9568252557510277e-06,0.0004630451730918139,0.00020077543740626425,3.287893832748523e-07,1.4735547892996692e-07,9.005629544844851e-05,1.737249294819776e-05,9.23355582926888e-06,8.423584176853183e-07,7.060359621391399e-07,4.8620659072184935e-05,0.00034551139106042683,1.0854334504983854e-05,8.79367144079879e-06,5.2031506214689216e-08,5.42096749711618e-08,1.4319709862320451e-06,1.031559077091515e-05,1.8805553736456204e-06,3.011576836797758e-06,1.7858214050647803e-05,0.00010728159395512193,3.2313800524264025e-09,2.6757382087794213e-08,1.0535798082855763e-06,5.192404017861918e-08,0.00033835877547971904,6.225387778613367e-07,4.1785355620049813e-07,3.6029730381414993e-06,7.405639189528301e-05,0.0001153716366388835,1.4500546967610717e-06,7.525389082729816e-05,8.852884093357716e-06,1.614749720602049e-07,3.4432065149303526e-05,6.867246702313423e-05,1.2873116475020652e-06,8.457876106149342e-07,1.2900742376587004e-06,1.7285868807448423e-06,4.227018379765468e-08,7.480082331312587e-07,1.4347423871186038e-07,6.949341582185298e-07,7.940909085846215e-07,9.537219011690468e-05,6.265801175686647e-07,7.696788088651374e-06,2.7735862317967985e-07,5.793297077616444e-06,6.128190932486177e-08,3.051967922829135e-08,4.275483433957561e-08,5.362059255276108e-06,1.7557438695803285e-05,1.376107974238039e-07,5.69164603803074e-06,2.554342472649296e-06,2.952587010440766e-06,3.4160134987359925e-07,6.415987172658788e-07,1.0702514430249721e-07,6.540965841850266e-05,2.2745447495253757e-05,1.8932641978608444e-05,5.47243281801002e-08,6.475287955254316e-05,1.5333012015616987e-07,2.913415073635406e-07,3.180866769980639e-07,3.2843399822013453e-07,8.690334851735315e-08,3.0976241305324947e-06,2.6721121315631535e-08,0.00014502994599752128,7.474414451280609e-05,0.0007200671243481338,4.5007731387158856e-05,6.66660416754894e-05,2.3211309780890588e-06,3.6005790207127575e-06,2.558375911121402e-07
16,1.2251125554030295e-06,1.3182365137254237e-06,2.5885567538352916e-06,0.9884886145591736,6.449599965208108e-09,2.432350321157628e-08,0.00041668902849778533,0.004635460674762726,0.0001850058906711638,7.218709185963235e-08,3.6787792367931615e-08,4.679952496644546e-07,5.332830710358394e-07,3.917519464380348e-08,4.663841366436827e-07,4.5357229083720085e-09,3.5485525131662143e-06,5.6372158496742486e-08,1.5566671436317847e-06,1.1147629948027316e-06,2.60630656612193e-07,8.397293277084827e-05,1.6131814106756792e-07,1.780188085831469e-07,2.9016007374593755e-07,6.835605745436624e-06,8.706147127668373e-06,2.898167039688815e-08,1.0821271644090302e-05,4.9725489503771314e-08,4.887155569122115e-07,3.0077438850639737e-07,1.1352850606272114e-06,1.912238367651753e-08,9.79474179985118e-07,1.950809746631421e-06,0.0017816470935940742,3.850051299991719e-08,1.0757445778608599e-07,4.006853941973532e-06,2.6663926746550715e-06,8.185391197912395e-05,7.386869356196257e-07,5.5078933655750006e-05,3.893438531576976e-07,2.5152652597171254e-05,3.1050079996930435e-05,2.1207983991189394e-07,6.673680985613828e-08,2.66949541583017e-07,6.173900601424975e-06,9.898986945700017e-07,1.0437447599542793e-05,5.991509510749893e-08,3.850556424822571e-07,9.711204285167696e-08,5.927328072807825e-10,1.2655553973672795e-06,1.627946949156467e-05,9.991398997044598e-08,0.00013316898548509926,4.198653869025293e-08,3.0807711937086424e-07,3.3427409107389394e-06,7.437347182559506e-09,8.844677950037294e-07,7.960855441524473e-08,4.405492859405058e-08,6.971396260269103e-08,3.1352607265944243e-07,1.1415117739943526e-07,7.3879441515600774e-06,5.9342347924484784e-08,1.2534100335415133e-07,2.661649212143402e-08,4.5582157781609567e-07,6.430557732528541e-06,1.3756443877355196e-06,9.09420165839947e-08,2.008636511163786e-05,1.2691014035226544e-06,2.64058849097637e-06,4.414055254642335e-08,1.3951552091384656e-07,2.0094488206723327e-07,1.8520686353440396e-05,2.5399682272109203e-05,4.465999552394351e-07,2.479461969073782e-09,4.24163317802595e-06,3.125452394669992e-06,6.574555868610332e-07,0.0013691227650269866,6.206573175404628e-07,0.0024516719859093428,5.847285865456797e-05,1.7161855794256553e-06,9.773277270141989e-06,3.5124658097629435e-06
19,1.1338731383148115e-05,5.7348247537447605e-06,2.4894270609365776e-05,0.9970166683197021,1.2095902945929993e-08,5.884515275056401e-08,0.00038958500954322517,0.00025342582375742495,9.539468010189012e-06,6.229540758795338e-06,1.3005970345147944e-07,8.26315272206557e-07,7.98609198682243e-06,1.1952313805352333e-08,2.1199281263761804e-07,1.5857544610753393e-08,1.9835786588373594e-05,6.865315782533798e-08,1.788877966646396e-06,5.634747139993124e-06,5.498961400007829e-06,7.368854858214036e-05,1.1320567949724136e-07,6.60122395856888e-07,1.402210273226956e-06,2.7576081265578978e-05,1.7094525901484303e-05,4.379839140256081e-07,6.021070475981105e-06,1.8974473547928028e-08,6.839049433438049e-07,9.064477239917323e-07,2.122023761330638e-05,1.8831597969892755e-07,1.3207068150222767e-07,4.94280357088428e-06,0.0001491831208113581,6.055731205378834e-08,2.6715970307122916e-06,7.770280717522837e-06,2.429839582873683e-07,0.000317137164529413,1.700681480087951e-07,2.4474033125443384e-05,2.594980060166563e-06,0.0002795055625028908,1.3472604223352391e-05,1.4705207718179736e-07,2.826928096055781e-07,1.4012476512448302e-08,4.302168599679135e-05,1.0877311069634743e-06,1.0828002814378124e-06,5.169006271898979e-07,2.1873836431041127e-06,9.965953040591558e-07,8.78150441252501e-09,5.232426474321983e-07,5.196965958020883e-06,2.9458431072271196e-07,0.0003841484722215682,5.6311208140868985e-08,4.385356362490711e-07,5.998697929499031e-07,1.7289440989998184e-08,7.772670505801216e-05,1.824638928837885e-08,1.0688552265492035e-08,3.6186074225952325e-07,4.766908205056097e-06,3.778522739139589e-08,1.3492990547092631e-06,9.194082650765267e-08,1.2297645923808886e-07,1.5790993401765263e-08,1.594354944245424e-05,0.0003661868686322123,8.01727821908571e-08,2.142156517948024e-06,7.46119030736736e-06,3.569467423858441e-07,1.0286136784998234e-05,4.871175178777776e-07,2.2951046219077398e-07,7.087842845976411e-07,0.00021465125610120595,7.568336968688527e-06,7.701199137954973e-06,1.7621225589792289e-09,5.533410103453207e-07,1.1050811735913157e-05,3.815302989096381e-07,2.104263512592297e-05,1.3307993640410132e-06,7.030948472674936e-05,2.6486786737223156e-06,1.1226345122850034e-05,3.7195984532445436e-06,7.047580311336787e-06
23,2.015917289099889e-06,3.640640670710127e-06,0.00017229278455488384,8.955389318998641e-08,3.126728188362904e-05,3.214400203432888e-05,8.5396959548234e-06,5.752523293267586e-07,1.6744301944982e-08,3.0467856504401425e-07,5.805279215564951e-06,1.7142814613180235e-05,4.626529346296593e-07,5.349203888727061e-07,8.424370889770216e-08,0.0007641794509254396,2.8742024369421415e-06,1.8415983182862306e-09,1.4565305264113704e-06,1.4907460821333984e-09,2.3962826389833936e-07,4.89505964651471e-07,1.251260783874386e-07,1.4983173969085328e-05,1.030206249197363e-06,0.00014303572243079543,2.5060154840161886e-08,1.771129092276169e-07,0.9981409311294556,0.0001411971024936065,2.7588304874370806e-05,1.1262989652038868e-08,4.1644901216386643e-07,8.4363023233891e-08,8.035115115490044e-07,0.00020292226690798998,1.3594417396234348e-06,4.120246899219637e-08,9.427882469026372e-05,2.8302560295401236e-09,1.2396380810741903e-08,1.981725716859728e-08,3.521803648709465e-07,5.988287625768862e-07,7.432805091411865e-07,1.5538812458970597e-09,3.819674532223871e-07,3.6800247471546754e-07,1.2720201558735766e-09,5.938513822911773e-07,9.164836001218646e-09,5.394240787381932e-08,1.4093219533606316e-06,8.057840261699312e-08,1.394966773204942e-07,3.4995959140360355e-05,4.205568515658342e-08,9.476179911871441e-07,2.3076215938111488e-10,1.4594002450962762e-08,2.337690752085564e-08,2.1766518329968676e-06,7.941549142742588e-07,4.0265427969643497e-07,1.0643960735023938e-07,8.983784383076454e-09,1.1491722018419637e-09,6.232846203602094e-07,2.404633789865329e-07,8.907350235176636e-08,4.848395110457204e-05,4.97622495458927e-05,6.841464710305445e-06,4.616110604871437e-09,2.813493154008029e-07,3.3515952235774193e-09,3.2607501143644413e-09,3.010184173035668e-07,1.6061410534895515e-10,1.1099604568798327e-09,1.6326218599260756e-08,3.395071871636901e-06,1.3705815371523045e-09,1.6632956345574712e-08,2.587465814940515e-07,3.6751983678584565e-09,1.712340846893312e-08,8.024210842449975e-07,2.2401075057132402e-06,7.091427960403962e-06,2.0919372900607414e-07,5.506980649272464e-09,1.5752604554108984e-08,2.1317450205060595e-07,4.7738396347085654e-08,6.99499764778011e-07,1.4198134294929332e-06,1.0524681126611313e-09,1.9606817659223452e-05
24,8.041390628932277e-07,6.733297936989402e-07,6.35161612194679e-08,7.523663470010433e-08,1.0065527078495506e-07,1.7063430277630687e-06,1.09099664769019e-06,1.0944271267021577e-08,2.889636263603279e-08,7.188015842984896e-06,2.0956764501534053e-07,2.510391894361419e-08,5.6840896434096067e-08,3.1308786674344447e-06,4.835680442738521e-07,2.8605097668332746e-06,3.1395753467222676e-05,8.141880414314073e-08,6.688112080155406e-06,2.4412567654508166e-05,5.053242375652189e-07,2.5129502319032326e-06,9.514544103694789e-07,3.827514774457086e-06,9.768706377144554e-07,2.2997677717739862e-07,7.07178173797729e-07,1.0848131068996736e-06,4.2871548089351563e-07,1.3761685295321513e-05,2.0306627845911862e-07,0.00021088638459332287,3.7624813558068126e-05,1.2901347190563683e-06,4.016109755866637e-07,2.7378740696804016e-07,2.230096924904501e-06,7.742347952444106e-05,0.00014524768630508333,2.516185304557439e-06,8.835889275360387e-06,6.786871722397336e-07,1.6715880519768689e-06,2.665820375113981e-06,6.510899197564868e-07,1.0812765367518296e-06,1.4803504200244788e-08,0.0003220727958250791,4.6425743676081765e-06,4.2124715946556535e-06,2.0261635654605925e-05,4.177051778242458e-06,3.4678080851335835e-08,7.412210152324405e-07,1.809715831768699e-05,3.6712301607622067e-06,1.3008195310248993e-05,0.00011103630095021799,9.19163903745357e-06,3.207322265552648e-07,6.439063326979522e-06,2.4108672391776054e-07,6.29772927140948e-08,1.2325298825999198e-07,2.1511134491447592e-06,1.2912572628920316e-06,2.1284004958488367e-07,1.8035099856206216e-05,1.7015338016790338e-05,1.466355115553597e-05,4.295245332741615e-07,7.814677616124754e-08,3.260593439335935e-05,1.990069442570075e-08,3.0002353014424443e-05,1.9694664388225647e-07,1.9417352632444818e-06,0.00011326841195113957,3.378462679393124e-06,1.1598717009064785e-07,6.940728525250961e-08,1.4078027277264482e-07,1.127927617972091e-07,1.4612812719860813e-06,0.9985461235046387,1.9886343238795234e-07,5.514886197488522e-06,2.4994189516291954e-05,2.4287448468385264e-05,1.8351363451074576e-06,2.3325736037804745e-05,2.13230535450748e-07,2.4020758715437296e-08,1.5393737839985988e-08,5.55606266061659e-06,2.8062072487955447e-06,4.8718668210767646e-08,6.3392953961738385e-06,3.500924776744796e-06
28,1.8462426965015766e-07,9.697432687971741e-05,1.690896880290893e-07,6.577073509106413e-05,5.142532017998747e-07,2.505673712960288e-08,1.7672737158136442e-05,0.00033048068871721625,0.998414158821106,4.373101774035604e-07,1.7374364915667684e-06,1.1854339390993118e-05,3.317138543934561e-05,2.6930918011203175e-06,7.711187936365604e-05,4.859289148839707e-08,1.625045479158871e-05,0.0002549935888964683,5.260579882815364e-07,9.016435456032923e-07,2.908296437453828e-06,4.91980756578414e-07,1.158755509322873e-07,4.1528199545837197e-08,1.4309804008405536e-08,3.644463504315354e-07,0.00029222198645584285,4.795735435436654e-07,9.271555256873398e-08,2.993258618744221e-08,3.221911626383189e-08,2.264823706354946e-06,1.280664889691252e-07,9.362559438841345e-08,1.5873042968905793e-07,1.936064791152603e-06,1.2852771078541991e-06,8.802316653344633e-10,4.289358312981051e-10,7.755219399996349e-08,1.2544407290704385e-08,4.479149083636003e-06,3.077374799431709e-07,8.363456593940555e-09,5.861988938704599e-07,2.4664789179951185e-06,8.486218575853854e-06,6.706122235300427e-07,3.1347758522315416e-06,1.0078551895276178e-06,9.203352391295994e-08,1.3131277682987275e-06,3.1781830784893828e-06,2.879869782645983e-07,6.983046318964625e-07,7.311724061764835e-07,1.3292674339027144e-07,1.26773498365651e-08,3.5731638945435407e-06,1.4105590935287182e-06,8.37730240732526e-08,3.764332490163724e-08,1.8388843727734638e-06,1.748740260154591e-06,3.170309355482459e-06,9.320136484802788e-08,1.0615013934511808e-06,5.506715794467709e-08,6.096565385860231e-08,2.1642003389388265e-07,5.99078362029104e-07,2.654525701473176e-07,7.157250792033665e-08,7.296811236301437e-05,7.003397684002266e-08,1.2694935321633238e-05,9.638152675961464e-08,6.84683300278266e-07,3.448515144555131e-07,4.3040367927460466e-06,2.3753160348860547e-05,1.5413928622365347e-06,6.38580672784883e-08,3.959379318985157e-05,7.521678924149455e-08,3.3167364676955913e-07,3.814087108366948e-07,1.7293709575483263e-08,3.419960847850234e-08,7.05534830558463e-07,2.7913438671589574e-08,1.1095149602624588e-05,1.677752698014956e-05,3.0157054879964562e-06,0.0001365052885375917,3.3694286685204133e-06,4.477818720260984e-07,3.777079200517619e-07,3.4799185755218787e-08
